Gene ID	Gene Symbol	
856805	RPS24A	
856148	VMA13	
854092	APM4	
853450	CTK2	
854912	RSC9	
855040	CSI1	
851824	SEC26	
853599	MCM22	
852263	POP8	
853262	RPL17B	
850623	PRP19	
856311	SEC23	
854315	ELG1	
853814	ASK1	
852730	RPL9A	
851782	SPC19	
854926	TAF8	
851925	YCG1	
855838	SUI3	
855097	RCO1	
851197	MTW1	
856352	RPL8A	
851716	HPR1	
853129	RSM27	
850397	RPS14A	
852465	POP7	
856141	APL4	
856305	DPB2	
852109	SEC20	
853461	APL1	
851029	BUD6	
851562	NHP10	
856059	CAM1	
852037	RPN9	
854179	RTS1	
854653	RRD1	
854697	SEC24	
853455	OST1	
853910	KAE1	
854715	RSM25	
855265	MRPL44	
855426	RFC3	
852967	MRPL25	
854453	RFM1	
852295	HHT1	
852585	MRPL27	
851916	MCM21	
856320	RPC82	
856057	MNN9	
852234	PSY4	
855821	HFI1	
851217	TPD3	
850691	SSL1	
856159	MCM16	
853857	PRP40	
856600	EGD2	
855231	MRPL24	
853062	MTR3	
853249	RPS22A	
854725	SDS3	
853060	PTI1	
852191	RPL23A	
854086	HST1	
851431	CDC48	
853605	HIR3	
855977	NAN1	
851964	TFC6	
852888	TFG2	
852392	RXT2	
854902	RPL6A	
855430	CUS2	
852319	RPL4A	
853036	PRE9	
853016	NUP57	
852522	PDB1	
852886	CUL3	
855166	GID8	
854544	PRE10	
852025	SYF1	
855489	CSL4	
851476	RPS16B	
851052	RPP0	
850777	GAA1	
853576	NNF1	
851035	RPL38	
853528	ARP3	
856751	SMB1	
854843	MND2	
852013	RPB7	
852275	HIR1	
853248	RPS14B	
851513	SIT4	
855232	RPL36A	
854879	GIM5	
850904	HRD3	
852088	SNF1	
854735	RPN2	
851260	EFB1	
856020	SEC16	
852061	RPS18A	
854946	CMP2	
853030	SYF2	
855429	SEC21	
856490	YNG2	
852740	SEC27	
852383	RFC5	
856455	MED6	
851412	CCT4	
856561	LIN1	
850868	APS1	
856571	CDC23	
851266	RFA1	
852748	RSM23	
854435	RPN8	
855668	OCA2	
852283	HTA2	
851575	RPL4B	
856726	SEC3	
850839	SMD3	
856163	MAK3	
852016	TRS120	
852205	AAR2	
853167	GCN5	
852260	HAP3	
851261	VPS8	
856656	RPL12A	
855773	RSM19	
855757	SNF12	
854983	YML6	
856742	RPN3	
855076	STV1	
854475	BUD7	
854966	VPS71	
854710	FYV10	
853712	RPT1	
850612	RET2	
854282	TRS33	
856577	SPC97	
852536	ARC40	
