DB	DB_Object_ID	DB_Object_Symbol	Qualifier 	GO ID	DB:Reference	Evidence												
SGD	S000007287	15S_RRNA		GO:0005763	PMID:6262728|SGD_REF:S000073641	IDA		C	Ribosomal RNA of the small mitochondrial ribosomal subunit	Q0020|14s rRNA|15S_RRNA_2	gene	taxon:559292	20150612	SGD				
SGD	S000007287	15S_RRNA		GO:0032543	PMID:6262728|SGD_REF:S000073641	IC	GO:0005763	P	Ribosomal RNA of the small mitochondrial ribosomal subunit	Q0020|14s rRNA|15S_RRNA_2	gene	taxon:559292	20150612	SGD				
SGD	S000007287	15S_RRNA		GO:0003735	PMID:6262728|SGD_REF:S000073641	IC	GO:0005763	F	Ribosomal RNA of the small mitochondrial ribosomal subunit	Q0020|14s rRNA|15S_RRNA_2	gene	taxon:559292	20150612	SGD				
SGD	S000007288	21S_RRNA		GO:0005762	PMID:6759872|SGD_REF:S000073372	IDA		C	Mitochondrial 21S rRNA	Q0158|21S_rRNA_3|21S_rRNA_4	gene	taxon:559292	20040202	SGD				
SGD	S000007288	21S_RRNA		GO:0032543	PMID:6759872|SGD_REF:S000073372	IMP		P	Mitochondrial 21S rRNA	Q0158|21S_rRNA_3|21S_rRNA_4	gene	taxon:559292	20100715	SGD				
SGD	S000007288	21S_RRNA		GO:0003735	PMID:6759872|SGD_REF:S000073372	ISS		F	Mitochondrial 21S rRNA	Q0158|21S_rRNA_3|21S_rRNA_4	gene	taxon:559292	20030721	SGD				
SGD	S000007288	21S_RRNA		GO:0003735	PMID:6759872|SGD_REF:S000073372	IMP		F	Mitochondrial 21S rRNA	Q0158|21S_rRNA_3|21S_rRNA_4	gene	taxon:559292	20030721	SGD				
SGD	S000007288	21S_RRNA		GO:0042255	PMID:6759872|SGD_REF:S000073372	IMP		P	Mitochondrial 21S rRNA	Q0158|21S_rRNA_3|21S_rRNA_4	gene	taxon:559292	20030721	SGD				
SGD	S000004660	AAC1		GO:0005739	PMID:16823961|SGD_REF:S000117178	IDA		C	Mitochondrial inner membrane ADP/ATP translocator	YMR056C|ADP/ATP carrier protein AAC1	gene	taxon:559292	20061212	SGD				
SGD	S000004660	AAC1		GO:0006783	PMID:18728780|SGD_REF:S000127569	IGI	SGD:S000000126	P	Mitochondrial inner membrane ADP/ATP translocator	YMR056C|ADP/ATP carrier protein AAC1	gene	taxon:559292	20080909	SGD				
SGD	S000004660	AAC1		GO:0006783	PMID:18728780|SGD_REF:S000127569	IGI	SGD:S000000289	P	Mitochondrial inner membrane ADP/ATP translocator	YMR056C|ADP/ATP carrier protein AAC1	gene	taxon:559292	20080909	SGD				
SGD	S000004660	AAC1		GO:0009060	PMID:2167309|SGD_REF:S000050955	IGI	SGD:S000000126	P	Mitochondrial inner membrane ADP/ATP translocator	YMR056C|ADP/ATP carrier protein AAC1	gene	taxon:559292	20040226	SGD				
